"zone","mean","max","min","sd"
469,NA,-Inf,Inf,NA
471,0.829329756841862,0.998928189277649,0.000194483189261518,0.204063573327961
472,0.970798373222351,0.970798373222351,0.970798373222351,NA
473,0.712242262885949,0.998760163784027,0.000463501928607002,0.309782110735164
476,NA,-Inf,Inf,NA
477,NA,-Inf,Inf,NA
2150,NA,-Inf,Inf,NA
2170,NA,-Inf,Inf,NA
2957,NA,-Inf,Inf,NA
2958,NA,-Inf,Inf,NA
2959,NA,-Inf,Inf,NA
2960,NA,-Inf,Inf,NA
2961,NA,-Inf,Inf,NA
2962,NA,-Inf,Inf,NA
2963,NA,-Inf,Inf,NA
2964,NA,-Inf,Inf,NA
2965,NA,-Inf,Inf,NA
2966,NA,-Inf,Inf,NA
2967,NA,-Inf,Inf,NA
2968,NA,-Inf,Inf,NA
2969,NA,-Inf,Inf,NA
3296,0.935774398233854,0.996064424514771,0.153933957219124,0.0868071198694931
3297,0.868641245741186,0.997190654277802,0.00885777082294226,0.226607600726995
3298,0.966709460814794,0.998093962669373,0.294166684150696,0.0678017017481982
3299,0.690445808554763,0.987434983253479,0.0787069946527481,0.211513029316634
3300,0.841211239371119,0.984891772270203,0.320033341646194,0.128567032348614
3301,0.854512637433333,0.999823153018951,0.0954894497990608,0.22999279885698
253439,0.436008214950562,0.436008214950562,0.436008214950562,NA
337761,0.625378310680389,0.625378310680389,0.625378310680389,NA
405219,NA,-Inf,Inf,NA
506406,0.163507655262947,0.163507655262947,0.163507655262947,NA
578682,NA,-Inf,Inf,NA
632889,NA,-Inf,Inf,NA
676776,NA,-Inf,Inf,NA
761002,NA,-Inf,Inf,NA
761004,NA,-Inf,Inf,NA
843694,NA,-Inf,Inf,NA
1000437,NA,-Inf,Inf,NA
1001272,0.982248981398615,0.999970138072968,0.470838993787766,0.0504878392335601
1002010,0.948822459679539,0.99922913312912,0.408749163150787,0.0796045694694506
1002196,0.929021126997303,0.999750018119812,0.390493303537369,0.11250152493986
1002268,0.830157071352005,0.99419891834259,0.0329650789499283,0.253085892032654
1002682,NA,-Inf,Inf,NA
1002734,0.931703477096506,0.999763071537018,0.00200018775649369,0.165077087570494
1002819,0.990147252877553,0.996188163757324,0.971348702907562,0.00930504966227778
1003167,0.934114354285034,0.998927056789398,0.139129251241684,0.143772156762109
1003842,0.95084157712617,0.999190986156464,0.0654778182506561,0.0930087536517656
1007289,NA,-Inf,Inf,NA
1012303,0.96830878051506,0.999673068523407,0.284322291612625,0.0527041494156803
1012305,0.737977981567383,0.737977981567383,0.737977981567383,NA
1012312,0.989328814224458,0.999918222427368,0.704059779644012,0.0229027823120889
1012317,0.963911209951081,0.999892115592957,0.000760517141316086,0.0844362190016027
1012324,0.919579863548279,0.919579863548279,0.919579863548279,NA
1012330,0.744709610939026,0.744709610939026,0.744709610939026,NA
1012331,0.996411834065228,0.999886691570282,0.974441707134247,0.00390446012316955
1012335,0.952975089341888,0.999869465827942,0.00832071993499994,0.102317595660971
1012337,0.98087064836927,0.99962192773819,0.722558379173279,0.0255969845307452
1012338,0.972351496848641,0.999857604503632,0.010429797694087,0.0567415989277657
1012339,0.913432402285418,0.999833881855011,0.0586676634848118,0.155690816358199
1012344,NA,-Inf,Inf,NA
1012346,NA,-Inf,Inf,NA
1012351,NA,-Inf,Inf,NA
1012352,NA,-Inf,Inf,NA
1012353,0.800600219378511,0.998647928237915,0.00964760221540928,0.184073515086128
1012360,0.991155173033195,0.999778687953949,0.708789348602295,0.0154985591447043
1012365,NA,-Inf,Inf,NA
1012366,NA,-Inf,Inf,NA
1012367,0.111528113484383,0.111528113484383,0.111528113484383,NA
1012368,0.953333800512083,0.999528527259827,0.0152949169278145,0.142520001857342
1012371,0.996302495162453,0.999878942966461,0.973616719245911,0.00346622644668166
1012372,0.927125990390778,0.927125990390778,0.927125990390778,NA
1012375,0.963666677474976,0.963666677474976,0.963666677474976,NA
1012381,0.995556098877565,0.999881267547607,0.189505875110626,0.0226091842770521
1012382,0.916469556383935,0.999051630496979,0.000590425333939493,0.144162529437673
1012383,0.787521904201569,0.998562514781952,0.000697530689649284,0.217922705810645
1012384,0.993730756971571,0.996485948562622,0.98639577627182,0.00333406642347001
1012385,NA,-Inf,Inf,NA
1012394,0.947605848312378,0.947605848312378,0.947605848312378,NA
1012401,NA,-Inf,Inf,NA
1012407,0.961520726063534,0.999742269515991,0.105430282652378,0.0682740650408758
1012408,0.995853066444397,0.995853066444397,0.995853066444397,NA
1012413,0.98343751142405,0.999918818473816,0.217174082994461,0.0679855925130193
1012445,0.962080413696971,0.99976110458374,0.472044616937637,0.053125012323483
1012447,0.924191057682037,0.924191057682037,0.924191057682037,NA
1012449,0.960909404952377,0.999813854694366,0.000293876917567104,0.105703636638624
1012564,NA,-Inf,Inf,NA
1012790,0.998930335044861,0.998930335044861,0.998930335044861,NA
1013016,NA,-Inf,Inf,NA
1013050,0.825071513652802,0.825071513652802,0.825071513652802,NA
1013664,0.699057785211609,0.999653995037079,0.00265372078865767,0.222998397185618
1013666,NA,-Inf,Inf,NA
1013668,NA,-Inf,Inf,NA
1013673,NA,-Inf,Inf,NA
1013677,0.323818873461703,0.999348044395447,0.000755850807763636,0.273880155373798
1013679,0.73193694703391,0.999703407287598,0.00434871856123209,0.210240492562346
1013683,NA,-Inf,Inf,NA
1013684,NA,-Inf,Inf,NA
1013689,0.996402025222778,0.996402025222778,0.996402025222778,NA
1013690,NA,-Inf,Inf,NA
1013694,0.937182497197389,0.999897837638855,0.0223252959549427,0.10796484212151
